Observation station;Year;Month;Day;Global radiation mean [W/m2]
Sotkamo Kuolaniemi;2004;6;27;269,9
Sotkamo Kuolaniemi;2004;6;28;194,6
Sotkamo Kuolaniemi;2004;6;29;50,5
Sotkamo Kuolaniemi;2004;6;30;189,1
Sotkamo Kuolaniemi;2004;7;1;237,2
Sotkamo Kuolaniemi;2004;7;2;265,4
Sotkamo Kuolaniemi;2004;7;3;241,7
Sotkamo Kuolaniemi;2004;7;4;226,4
Sotkamo Kuolaniemi;2004;7;5;139,6
Sotkamo Kuolaniemi;2004;7;6;97,2
Sotkamo Kuolaniemi;2004;7;7;211,8
Sotkamo Kuolaniemi;2004;7;8;279,8
Sotkamo Kuolaniemi;2004;7;9;190,1
Sotkamo Kuolaniemi;2004;7;10;230,8
Sotkamo Kuolaniemi;2004;7;11;222,8
Sotkamo Kuolaniemi;2004;7;12;73,9
Sotkamo Kuolaniemi;2004;7;13;215,2
Sotkamo Kuolaniemi;2004;7;14;166,2
Sotkamo Kuolaniemi;2004;7;15;162,7
Sotkamo Kuolaniemi;2004;7;16;60,7
Sotkamo Kuolaniemi;2004;7;17;282,4
Sotkamo Kuolaniemi;2004;7;18;306,6
Sotkamo Kuolaniemi;2004;7;19;264,6
Sotkamo Kuolaniemi;2004;7;20;157,6
Sotkamo Kuolaniemi;2004;7;21;298,7
Sotkamo Kuolaniemi;2004;7;22;269,9
Sotkamo Kuolaniemi;2004;7;23;286,4
Sotkamo Kuolaniemi;2004;7;24;286,3
Sotkamo Kuolaniemi;2004;7;25;238,4
Sotkamo Kuolaniemi;2004;7;26;194,6
Sotkamo Kuolaniemi;2004;7;27;141,1
Sotkamo Kuolaniemi;2004;7;28;54,3
Sotkamo Kuolaniemi;2004;7;29;27,3
Sotkamo Kuolaniemi;2004;7;30;141,9
Sotkamo Kuolaniemi;2004;7;31;228,3
Sotkamo Kuolaniemi;2004;8;1;235,3
Sotkamo Kuolaniemi;2004;8;2;96,5
Sotkamo Kuolaniemi;2004;8;3;168,7
Sotkamo Kuolaniemi;2004;8;4;68,8
Sotkamo Kuolaniemi;2004;8;5;89,5
Sotkamo Kuolaniemi;2004;8;6;191,8
Sotkamo Kuolaniemi;2004;8;7;193,5
Sotkamo Kuolaniemi;2004;8;8;124,2
Sotkamo Kuolaniemi;2004;8;9;132
Sotkamo Kuolaniemi;2004;8;10;101
Sotkamo Kuolaniemi;2004;8;11;116,7
Sotkamo Kuolaniemi;2004;8;12;148,8
Sotkamo Kuolaniemi;2004;8;13;149,3
Sotkamo Kuolaniemi;2004;8;14;185,2
Sotkamo Kuolaniemi;2004;8;15;160,9
Sotkamo Kuolaniemi;2004;8;16;124,8
Sotkamo Kuolaniemi;2004;8;17;181,3
Sotkamo Kuolaniemi;2004;8;18;83,4
Sotkamo Kuolaniemi;2004;8;19;215,1
Sotkamo Kuolaniemi;2004;8;20;27,4
Sotkamo Kuolaniemi;2004;8;21;77,8
Sotkamo Kuolaniemi;2004;8;22;163,1
Sotkamo Kuolaniemi;2004;8;23;141,8
Sotkamo Kuolaniemi;2004;8;24;68
Sotkamo Kuolaniemi;2004;8;25;206,9
Sotkamo Kuolaniemi;2004;8;26;191,6
Sotkamo Kuolaniemi;2004;8;27;130,3
Sotkamo Kuolaniemi;2004;8;28;72,7
Sotkamo Kuolaniemi;2004;8;29;119,4
Sotkamo Kuolaniemi;2004;8;30;157,2
Sotkamo Kuolaniemi;2004;8;31;83,6
Sotkamo Kuolaniemi;2004;9;1;149,2
Sotkamo Kuolaniemi;2004;9;2;87,1
Sotkamo Kuolaniemi;2004;9;3;45,7
Sotkamo Kuolaniemi;2004;9;4;126,1
Sotkamo Kuolaniemi;2004;9;5;80,3
Sotkamo Kuolaniemi;2004;9;6;152
Sotkamo Kuolaniemi;2004;9;7;157,8
Sotkamo Kuolaniemi;2004;9;8;139,5
Sotkamo Kuolaniemi;2004;9;9;121,5
Sotkamo Kuolaniemi;2004;9;10;88,9
Sotkamo Kuolaniemi;2004;9;11;139
Sotkamo Kuolaniemi;2004;9;12;68,7
Sotkamo Kuolaniemi;2004;9;13;60,9
Sotkamo Kuolaniemi;2004;9;14;35,7
Sotkamo Kuolaniemi;2004;9;15;73,4
Sotkamo Kuolaniemi;2004;9;16;48
Sotkamo Kuolaniemi;2004;9;17;101,5
Sotkamo Kuolaniemi;2004;9;18;18,8
Sotkamo Kuolaniemi;2004;9;19;7,5
Sotkamo Kuolaniemi;2004;9;20;46,5
Sotkamo Kuolaniemi;2004;9;21;33,1
Sotkamo Kuolaniemi;2004;9;22;26,7
Sotkamo Kuolaniemi;2004;9;23;50
Sotkamo Kuolaniemi;2004;9;24;43,1
Sotkamo Kuolaniemi;2004;9;25;32
Sotkamo Kuolaniemi;2004;9;26;36,3
Sotkamo Kuolaniemi;2004;9;27;30,1
Sotkamo Kuolaniemi;2004;9;28;33,6
Sotkamo Kuolaniemi;2004;9;29;23,4
Sotkamo Kuolaniemi;2004;9;30;82,4
Sotkamo Kuolaniemi;2004;10;1;62,2
Sotkamo Kuolaniemi;2004;10;2;56,2
Sotkamo Kuolaniemi;2004;10;3;28,8
Sotkamo Kuolaniemi;2004;10;4;36,8
Sotkamo Kuolaniemi;2004;10;5;8,6
Sotkamo Kuolaniemi;2004;10;6;50,6
Sotkamo Kuolaniemi;2004;10;7;23,6
Sotkamo Kuolaniemi;2004;10;8;13,1
Sotkamo Kuolaniemi;2004;10;9;56,2
Sotkamo Kuolaniemi;2004;10;10;69,1
Sotkamo Kuolaniemi;2004;10;11;73,4
Sotkamo Kuolaniemi;2004;10;12;37,1
Sotkamo Kuolaniemi;2004;10;13;14,5
Sotkamo Kuolaniemi;2004;10;14;41,9
Sotkamo Kuolaniemi;2004;10;15;37,4
Sotkamo Kuolaniemi;2004;10;16;16,7
Sotkamo Kuolaniemi;2004;10;17;35,9
Sotkamo Kuolaniemi;2004;10;18;9,7
Sotkamo Kuolaniemi;2004;10;19;10,5
Sotkamo Kuolaniemi;2004;10;20;16,8
Sotkamo Kuolaniemi;2004;10;21;14,6
Sotkamo Kuolaniemi;2004;10;22;3,8
Sotkamo Kuolaniemi;2004;10;23;16,9
Sotkamo Kuolaniemi;2004;10;24;12,4
Sotkamo Kuolaniemi;2004;10;25;15,6
Sotkamo Kuolaniemi;2004;10;26;5,3
Sotkamo Kuolaniemi;2004;10;27;6,9
Sotkamo Kuolaniemi;2004;10;28;17,2
Sotkamo Kuolaniemi;2004;10;29;34
Sotkamo Kuolaniemi;2004;10;30;31,5
Sotkamo Kuolaniemi;2004;10;31;19,6
Sotkamo Kuolaniemi;2004;11;1;26,6
Sotkamo Kuolaniemi;2004;11;2;27,7
Sotkamo Kuolaniemi;2004;11;3;18,9
Sotkamo Kuolaniemi;2004;11;4;2,9
Sotkamo Kuolaniemi;2004;11;5;0,1
Sotkamo Kuolaniemi;2004;11;6;1,5
Sotkamo Kuolaniemi;2004;11;7;5
Sotkamo Kuolaniemi;2004;11;8;1,3
Sotkamo Kuolaniemi;2004;11;9;4,1
Sotkamo Kuolaniemi;2004;11;10;4,4
Sotkamo Kuolaniemi;2004;11;11;1,3
Sotkamo Kuolaniemi;2004;11;12;0,1
Sotkamo Kuolaniemi;2004;11;13;3,8
Sotkamo Kuolaniemi;2004;11;14;7,3
Sotkamo Kuolaniemi;2004;11;15;8
Sotkamo Kuolaniemi;2004;11;16;6
Sotkamo Kuolaniemi;2004;11;17;5,7
Sotkamo Kuolaniemi;2004;11;18;3,4
Sotkamo Kuolaniemi;2004;11;19;6,8
Sotkamo Kuolaniemi;2004;11;20;3
Sotkamo Kuolaniemi;2004;11;21;5,2
Sotkamo Kuolaniemi;2004;11;22;4,8
Sotkamo Kuolaniemi;2004;11;23;2,6
Sotkamo Kuolaniemi;2004;11;24;1,5
Sotkamo Kuolaniemi;2004;11;25;3,6
Sotkamo Kuolaniemi;2004;11;26;2,6
Sotkamo Kuolaniemi;2004;11;27;4,6
Sotkamo Kuolaniemi;2004;11;28;2,8
Sotkamo Kuolaniemi;2004;11;29;1,9
Sotkamo Kuolaniemi;2004;11;30;0,6
Sotkamo Kuolaniemi;2004;12;1;-0,2
Sotkamo Kuolaniemi;2004;12;2;0,4
Sotkamo Kuolaniemi;2004;12;3;1,9
Sotkamo Kuolaniemi;2004;12;4;1,6
Sotkamo Kuolaniemi;2004;12;5;0,4
Sotkamo Kuolaniemi;2004;12;6;0,1
Sotkamo Kuolaniemi;2004;12;7;-0,6
Sotkamo Kuolaniemi;2004;12;8;-1
Sotkamo Kuolaniemi;2004;12;9;0,9
Sotkamo Kuolaniemi;2004;12;10;-0,2
Sotkamo Kuolaniemi;2004;12;11;-1,1
Sotkamo Kuolaniemi;2004;12;12;-0,5
Sotkamo Kuolaniemi;2004;12;13;-0,7
Sotkamo Kuolaniemi;2004;12;14;1
Sotkamo Kuolaniemi;2004;12;15;-0,6
Sotkamo Kuolaniemi;2004;12;16;1,3
Sotkamo Kuolaniemi;2004;12;17;-0,4
Sotkamo Kuolaniemi;2004;12;18;0,9
Sotkamo Kuolaniemi;2004;12;19;-1,8
Sotkamo Kuolaniemi;2004;12;20;-1,2
Sotkamo Kuolaniemi;2004;12;21;-1,1
Sotkamo Kuolaniemi;2004;12;22;0,7
Sotkamo Kuolaniemi;2004;12;23;0,4
Sotkamo Kuolaniemi;2004;12;24;-0,7
Sotkamo Kuolaniemi;2004;12;25;0,7
Sotkamo Kuolaniemi;2004;12;26;0,1
Sotkamo Kuolaniemi;2004;12;27;0,4
Sotkamo Kuolaniemi;2004;12;28;0,6
Sotkamo Kuolaniemi;2004;12;29;0,2
Sotkamo Kuolaniemi;2004;12;30;0,1
Sotkamo Kuolaniemi;2004;12;31;2,1
Sotkamo Kuolaniemi;2005;1;1;2,6
Sotkamo Kuolaniemi;2005;1;2;1,9
Sotkamo Kuolaniemi;2005;1;3;1,8
Sotkamo Kuolaniemi;2005;1;4;0,8
Sotkamo Kuolaniemi;2005;1;5;-0,8
Sotkamo Kuolaniemi;2005;1;6;1,3
Sotkamo Kuolaniemi;2005;1;7;0,1
Sotkamo Kuolaniemi;2005;1;8;0,9
Sotkamo Kuolaniemi;2005;1;9;1,5
Sotkamo Kuolaniemi;2005;1;10;2,3
Sotkamo Kuolaniemi;2005;1;11;4,6
Sotkamo Kuolaniemi;2005;1;12;3,6
Sotkamo Kuolaniemi;2005;1;13;1,9
Sotkamo Kuolaniemi;2005;1;14;0,9
Sotkamo Kuolaniemi;2005;1;15;6,4
Sotkamo Kuolaniemi;2005;1;16;2,6
Sotkamo Kuolaniemi;2005;1;17;1,5
Sotkamo Kuolaniemi;2005;1;18;0,9
Sotkamo Kuolaniemi;2005;1;19;2,5
Sotkamo Kuolaniemi;2005;1;20;3,1
Sotkamo Kuolaniemi;2005;1;21;4
Sotkamo Kuolaniemi;2005;1;22;2,7
Sotkamo Kuolaniemi;2005;1;23;5,8
Sotkamo Kuolaniemi;2005;1;24;3,1
Sotkamo Kuolaniemi;2005;1;25;5,3
Sotkamo Kuolaniemi;2005;1;26;10,7
Sotkamo Kuolaniemi;2005;1;27;8,6
Sotkamo Kuolaniemi;2005;1;28;11,1
Sotkamo Kuolaniemi;2005;1;29;9,8
Sotkamo Kuolaniemi;2005;1;30;7,6
Sotkamo Kuolaniemi;2005;1;31;8,6
Sotkamo Kuolaniemi;2005;2;1;5,9
Sotkamo Kuolaniemi;2005;2;2;9,1
Sotkamo Kuolaniemi;2005;2;3;11,2
Sotkamo Kuolaniemi;2005;2;4;6,3
Sotkamo Kuolaniemi;2005;2;5;5,9
Sotkamo Kuolaniemi;2005;2;6;27,2
Sotkamo Kuolaniemi;2005;2;7;10,7
Sotkamo Kuolaniemi;2005;2;8;21,3
Sotkamo Kuolaniemi;2005;2;9;27,2
Sotkamo Kuolaniemi;2005;2;10;32,1
Sotkamo Kuolaniemi;2005;2;11;21,2
Sotkamo Kuolaniemi;2005;2;12;15,1
Sotkamo Kuolaniemi;2005;2;13;12,2
Sotkamo Kuolaniemi;2005;2;14;26,4
Sotkamo Kuolaniemi;2005;2;15;24,7
Sotkamo Kuolaniemi;2005;2;16;38,3
Sotkamo Kuolaniemi;2005;2;17;34,7
Sotkamo Kuolaniemi;2005;2;18;32
Sotkamo Kuolaniemi;2005;2;19;20,6
Sotkamo Kuolaniemi;2005;2;20;47,1
Sotkamo Kuolaniemi;2005;2;21;57,1
Sotkamo Kuolaniemi;2005;2;22;54,1
Sotkamo Kuolaniemi;2005;2;23;58,3
Sotkamo Kuolaniemi;2005;2;24;41,5
Sotkamo Kuolaniemi;2005;2;25;66,3
Sotkamo Kuolaniemi;2005;2;26;53,9
Sotkamo Kuolaniemi;2005;2;27;69,2
Sotkamo Kuolaniemi;2005;2;28;75
Sotkamo Kuolaniemi;2005;3;1;69,4
