Observation station;Year;Month;Day;Time [Local time];Global radiation mean [W/m2]
Vantaa Helsinki-Vantaa airport;2016;10;29;00:00;16,4
Vantaa Helsinki-Vantaa airport;2016;10;30;00:00;12,7
Vantaa Helsinki-Vantaa airport;2016;10;31;00:00;22,7
Vantaa Helsinki-Vantaa airport;2016;11;1;00:00;6,3
Vantaa Helsinki-Vantaa airport;2016;11;2;00:00;14,6
Vantaa Helsinki-Vantaa airport;2016;11;3;00:00;36,4
Vantaa Helsinki-Vantaa airport;2016;11;4;00:00;18,8
Vantaa Helsinki-Vantaa airport;2016;11;5;00:00;31,9
Vantaa Helsinki-Vantaa airport;2016;11;6;00:00;17,9
Vantaa Helsinki-Vantaa airport;2016;11;7;00:00;15,2
Vantaa Helsinki-Vantaa airport;2016;11;8;00:00;18,3
Vantaa Helsinki-Vantaa airport;2016;11;9;00:00;9
Vantaa Helsinki-Vantaa airport;2016;11;10;00:00;13,7
Vantaa Helsinki-Vantaa airport;2016;11;11;00:00;36,4
Vantaa Helsinki-Vantaa airport;2016;11;12;00:00;11,1
Vantaa Helsinki-Vantaa airport;2016;11;13;00:00;13,7
Vantaa Helsinki-Vantaa airport;2016;11;14;00:00;14,5
Vantaa Helsinki-Vantaa airport;2016;11;15;00:00;9,8
Vantaa Helsinki-Vantaa airport;2016;11;16;00:00;8,9
Vantaa Helsinki-Vantaa airport;2016;11;17;00:00;6
Vantaa Helsinki-Vantaa airport;2016;11;18;00:00;6,4
Vantaa Helsinki-Vantaa airport;2016;11;19;00:00;11,8
Vantaa Helsinki-Vantaa airport;2016;11;20;00:00;10,2
Vantaa Helsinki-Vantaa airport;2016;11;21;00:00;2,7
Vantaa Helsinki-Vantaa airport;2016;11;22;00:00;1,7
Vantaa Helsinki-Vantaa airport;2016;11;23;00:00;1,1
Vantaa Helsinki-Vantaa airport;2016;11;24;00:00;6,6
Vantaa Helsinki-Vantaa airport;2016;11;25;00:00;9,8
Vantaa Helsinki-Vantaa airport;2016;11;26;00:00;8,9
Vantaa Helsinki-Vantaa airport;2016;11;27;00:00;4,7
Vantaa Helsinki-Vantaa airport;2016;11;28;00:00;17,7
Vantaa Helsinki-Vantaa airport;2016;11;29;00:00;21,7
Vantaa Helsinki-Vantaa airport;2016;11;30;00:00;11,4
Vantaa Helsinki-Vantaa airport;2016;12;1;00:00;13,6
Vantaa Helsinki-Vantaa airport;2016;12;2;00:00;7,2
Vantaa Helsinki-Vantaa airport;2016;12;3;00:00;8
Vantaa Helsinki-Vantaa airport;2016;12;4;00:00;17,5
Vantaa Helsinki-Vantaa airport;2016;12;5;00:00;10
Vantaa Helsinki-Vantaa airport;2016;12;6;00:00;15,5
Vantaa Helsinki-Vantaa airport;2016;12;7;00:00;8,3
Vantaa Helsinki-Vantaa airport;2016;12;8;00:00;2,7
Vantaa Helsinki-Vantaa airport;2016;12;9;00:00;5,3
Vantaa Helsinki-Vantaa airport;2016;12;10;00:00;8,7
Vantaa Helsinki-Vantaa airport;2016;12;11;00:00;8,1
Vantaa Helsinki-Vantaa airport;2016;12;12;00:00;8,6
Vantaa Helsinki-Vantaa airport;2016;12;13;00:00;5,6
Vantaa Helsinki-Vantaa airport;2016;12;14;00:00;6
Vantaa Helsinki-Vantaa airport;2016;12;15;00:00;5,4
Vantaa Helsinki-Vantaa airport;2016;12;16;00:00;13,4
Vantaa Helsinki-Vantaa airport;2016;12;17;00:00;5,1
Vantaa Helsinki-Vantaa airport;2016;12;18;00:00;5,8
Vantaa Helsinki-Vantaa airport;2016;12;19;00:00;3,8
Vantaa Helsinki-Vantaa airport;2016;12;20;00:00;3,6
Vantaa Helsinki-Vantaa airport;2016;12;21;00:00;1,5
Vantaa Helsinki-Vantaa airport;2016;12;22;00:00;1
Vantaa Helsinki-Vantaa airport;2016;12;23;00:00;5
Vantaa Helsinki-Vantaa airport;2016;12;24;00:00;0,3
Vantaa Helsinki-Vantaa airport;2016;12;25;00:00;2,2
Vantaa Helsinki-Vantaa airport;2016;12;26;00:00;6
Vantaa Helsinki-Vantaa airport;2016;12;27;00:00;9,1
Vantaa Helsinki-Vantaa airport;2016;12;28;00:00;12,9
Vantaa Helsinki-Vantaa airport;2016;12;29;00:00;1,4
Vantaa Helsinki-Vantaa airport;2016;12;30;00:00;2,3
Vantaa Helsinki-Vantaa airport;2016;12;31;00:00;1,3
Vantaa Helsinki-Vantaa airport;2017;1;1;00:00;4,1
Vantaa Helsinki-Vantaa airport;2017;1;2;00:00;4,3
Vantaa Helsinki-Vantaa airport;2017;1;3;00:00;5,6
Vantaa Helsinki-Vantaa airport;2017;1;4;00:00;9,7
Vantaa Helsinki-Vantaa airport;2017;1;5;00:00;16,3
Vantaa Helsinki-Vantaa airport;2017;1;6;00:00;18,2
Vantaa Helsinki-Vantaa airport;2017;1;7;00:00;3,4
Vantaa Helsinki-Vantaa airport;2017;1;8;00:00;8
Vantaa Helsinki-Vantaa airport;2017;1;9;00:00;7,3
Vantaa Helsinki-Vantaa airport;2017;1;10;00:00;5,4
Vantaa Helsinki-Vantaa airport;2017;1;11;00:00;0,3
Vantaa Helsinki-Vantaa airport;2017;1;12;00:00;1,4
Vantaa Helsinki-Vantaa airport;2017;1;13;00:00;7,4
Vantaa Helsinki-Vantaa airport;2017;1;14;00:00;7,5
Vantaa Helsinki-Vantaa airport;2017;1;15;00:00;7,6
Vantaa Helsinki-Vantaa airport;2017;1;16;00:00;8,3
Vantaa Helsinki-Vantaa airport;2017;1;17;00:00;8
Vantaa Helsinki-Vantaa airport;2017;1;18;00:00;6,4
Vantaa Helsinki-Vantaa airport;2017;1;19;00:00;12,8
Vantaa Helsinki-Vantaa airport;2017;1;20;00:00;14,3
Vantaa Helsinki-Vantaa airport;2017;1;21;00:00;24,2
Vantaa Helsinki-Vantaa airport;2017;1;22;00:00;23,4
Vantaa Helsinki-Vantaa airport;2017;1;23;00:00;11
Vantaa Helsinki-Vantaa airport;2017;1;24;00:00;20,3
Vantaa Helsinki-Vantaa airport;2017;1;25;00:00;19,9
Vantaa Helsinki-Vantaa airport;2017;1;26;00:00;7,5
Vantaa Helsinki-Vantaa airport;2017;1;27;00:00;33,5
Vantaa Helsinki-Vantaa airport;2017;1;28;00:00;6,8
Vantaa Helsinki-Vantaa airport;2017;1;29;00:00;7,5
Vantaa Helsinki-Vantaa airport;2017;1;30;00:00;8,5
Vantaa Helsinki-Vantaa airport;2017;1;31;00:00;21,8
Vantaa Helsinki-Vantaa airport;2017;2;1;00:00;10,3
Vantaa Helsinki-Vantaa airport;2017;2;2;00:00;6,9
Vantaa Helsinki-Vantaa airport;2017;2;3;00:00;5,9
Vantaa Helsinki-Vantaa airport;2017;2;4;00:00;12,7
Vantaa Helsinki-Vantaa airport;2017;2;5;00:00;10,4
Vantaa Helsinki-Vantaa airport;2017;2;6;00:00;41,6
Vantaa Helsinki-Vantaa airport;2017;2;7;00:00;52,4
Vantaa Helsinki-Vantaa airport;2017;2;8;00:00;55,6
Vantaa Helsinki-Vantaa airport;2017;2;9;00:00;55,9
Vantaa Helsinki-Vantaa airport;2017;2;10;00:00;54,8
Vantaa Helsinki-Vantaa airport;2017;2;11;00:00;20,6
Vantaa Helsinki-Vantaa airport;2017;2;12;00:00;39,1
Vantaa Helsinki-Vantaa airport;2017;2;13;00:00;50,1
Vantaa Helsinki-Vantaa airport;2017;2;14;00:00;65,2
Vantaa Helsinki-Vantaa airport;2017;2;15;00:00;58,4
Vantaa Helsinki-Vantaa airport;2017;2;16;00:00;50
Vantaa Helsinki-Vantaa airport;2017;2;17;00:00;22,5
